"RelativePath","TopLevel","SourceSize","SourceHash","TargetHash","Decision"
".env.example",".env.example","422","76781FD00A18A45897A82EAA6A463010C664FA264D84E24881CF4955DAA8562F","6DDFE0E5DC38C9B7732C99500D2A911DB56D9F2ABE1763199B9B53D792D096A1","CONFLICT"
".gitignore",".gitignore","57","BCDAF5CF2C202B3662A38DFA721A1A8C3F63C3A533D8192D2CE79B32E9C13FE3","4A36A28C96226C8A7C2ACA9508ADB34A6B067C47DA7701CCAA283D986EA8A261","CONFLICT"
"package.json","package.json","1379","0468CCF46B6D226E6A656C9B0B73F62D4E74D8D90C81B30FDE15B4FF43C5C45D","4F1154656B27711E0D9588CDD64A693095CAA4E41714E5F95C95372BA11940DA","CONFLICT"
"package-lock.json","package-lock.json","93800","24E14546A3B97E253AEDED48AF6120C80A7CD2DD8CDE3A9E66DD8D723DC4FFBE","2693F2751F53004138747D1EDA3328D47FC05B57727759DB0329AF7D2E2BC2B6","CONFLICT"
"README.md","README.md","16","30B6C25B220143E765EF477FAF80A35E58B28D92D74DB7C4E0F2B6D897804B9A","0D5AA20D69644A41037A6479E799E46038792CC7B2305AD27D9F262557776CD3","CONFLICT"
"tsconfig.json","tsconfig.json","687","EB65D0F368982E473D576623F8AD6C275DEE170A9C64B1B6CEE368FA3D8C420F","27D738B689050F345F33B16DA0037171748062EB7462BBFDC6258D48FFF22E9E","CONFLICT"
".github\workflows\ci.yml",".github","712","333D3A59D05C125CCA23AC51A2C553D1D30157250DFA9C398192373CE7CE7555","","MISSING"
"app\api\ai\run\route.ts","app","646","756029CB2B50AE13AB6C78A9F94A4CD6F1EA2C17F405630984EA72B814E55B32","","MISSING"
"app\api\ai\strategy\route.ts","app","1102","79989C36553E980C493D4D9DF1DA97D978F68A497A42E12F888C60AA24DB24C1","","MISSING"
"app\api\auth\login\route.ts","app","895","846C55980AFB83B5ED61142433B14F0547D1083612C4760341344593594BE3AC","","MISSING"
"app\api\auth\logout\route.ts","app","188","FB8F80FB7BEC01C7D4CD503B8852E2B6B9A6BCCE1C7EB2F66DE19541B5D93425","","MISSING"
"app\api\auth\me\route.ts","app","330","9A063E0705A17F57D0A75DE04182C0C6C289BBCDAF0DBEF5FB60843CC0D06ED9","","MISSING"
"app\api\auth\register\route.ts","app","1847","0EB37273E5055BD74E34A5DD37F6554521828B8240EC68FE8A6511A33B4AB4C4","","MISSING"
"app\api\health\route.ts","app","143","3F9F06E15C24D7B58824B807A953A825EF03482223AB3944DB04A734C77B6CAE","","MISSING"
"app\api\onboarding\route.ts","app","2209","DBE2F4D2803635463E4FD61B189F66FC81A7DC6DD52740AD939CA1EFFE20DE08","","MISSING"
"app\api\rag\documents\reprocess\route.ts","app","1342","807932C22A37CF4A0554A72A2E868467E9DCF09960E51E6B598116FED8B724DB","","MISSING"
"app\api\rag\documents\route.ts","app","1540","5A57C6B676AFE2860A732E1C2F3D023A76CD3340A1B60E752775015BF6BEC767","","MISSING"
"app\api\rag\ingest\route.ts","app","2898","751E832A1096BCC486C9F4CFF3204351FFE1D9BC8DA3C2EDF85F2D8F4445A53C","","MISSING"
"app\api\rag\ingest-url\route.ts","app","1778","C57198EEECE1D3D917FD44D0C60A66F46C653B76D11837F01DB0CD8D8A0DFAA4","","MISSING"
"app\api\rag\search\route.ts","app","657","D516793B3C7F2AF628B2F2E3B93528BE5068AD736AB38B9C56BA18333B2E9D40","","MISSING"
"app\api\v1\automation\[id]\activate\route.ts","app","524",,"","MISSING"
"app\api\v1\automation\route.ts","app","1063","EF751EDC5F1325351ADAEE8A8C29182C662F4181986292AFC08F29E2CC2BFAB1","","MISSING"
"app\api\v1\automation\run\route.ts","app","649","2E4CED04F9FF6D271D354A575CFD1C40398CD9D1938AD1F65F8D410E9D6CC475","","MISSING"
"app\api\v1\crm\forecast\route.ts","app","441","4623608D57D6D37D5536CAC05A4D669D00DE373E12A06CC9E2020E60886ED4AF","","MISSING"
"app\api\v1\crm\leads\[id]\score\route.ts","app","426",,"","MISSING"
"app\api\v1\crm\leads\route.ts","app","1177","49B3DB1ABDD81C3D3EF58C0ED8FB56372BCA0263023BE5DBCE98F22B2499AE8A","","MISSING"
"app\api\v1\crm\opportunities\route.ts","app","1079","B43B37EA6BAA56A05D290591998DBF0982DC412BBA66D2C332A875B6A75BBB0D","","MISSING"
"app\api\v1\crm\proposals\route.ts","app","501","DF57FDC118A688991B6F47DA44AF0A0E6D10D2ECA9A9336EF041047A378D2246","","MISSING"
"app\api\v1\dashboard\route.ts","app","1585","0F57A3B3033136D3850E66E6B3B59E4E6BED739B199601995F2EEE013B67FDA8","","MISSING"
"app\api\v1\entitlements\route.ts","app","1253","9619F4C8A7E62E1503124D25B0CF3F184C6951E43B83ABAB463EABA0EA579BCF","","MISSING"
"app\api\v1\marketing\campaigns\[id]\route.ts","app","1323",,"","MISSING"
"app\api\v1\marketing\campaigns\route.ts","app","856","1FA718A49D189974C0758D025F6304BC452EE45BD7C5192B86B005151B23A9BB","","MISSING"
"app\api\v1\marketing\content\[id]\approve\route.ts","app","680",,"","MISSING"
"app\api\v1\marketing\content\route.ts","app","823","DD693981DDD16361EEBF76FCE4FCB59B9EF4DE31FF6D4736F02DC58A0FEB0876","","MISSING"
"app\api\v1\marketing\creative\route.ts","app","780","2D40EF325F96E1185533A7F6B2DFF7F54123DA6009807B5FC42B0458129BA0AE","","MISSING"
"app\api\v1\marketing\dashboard\route.ts","app","1121","5D9115FDBA16BB602B4D0A7F4DC1C79DD9048D731B00CAD8D36DE2C1722D1F62","","MISSING"
"app\api\v1\marketing\experiments\route.ts","app","1015","C6E6A4558597F830970F4D4DC8AD10DC1B766641047EB19B438FDE15190416B1","","MISSING"
"app\api\v1\marketing\seo\projects\route.ts","app","770","FA0F25A0F5E8B188759A0B549056D790D150471C855465E25D6232CD09CA1BD2","","MISSING"
"app\api\v1\marketing\strategy\route.ts","app","759","93E365DE9C3FED8774FC840E6ADD70C7A5A0F3FC7B1765EF155736EBA8635E7B","","MISSING"
"app\api\v1\me\route.ts","app","856","72F29A13E3106234C09BE08FFCEEF29DA4E438CDFCADA421084C3EB9BB12D089","","MISSING"
"app\api\v1\organization\route.ts","app","1407","D674F36A582B50949308EB3E56D80F8E0D522F7BE5519A97195BD765AC87CBE4","","MISSING"
"app\api\workflows\new-client-campaign\route.ts","app","923","B1CA030AF34E16743B67451C1D06B3961AED25F0DC8F32E92270F7B8947DB110","","MISSING"
"app\auth\page.tsx","app","2456","26243CEEB6ACFFECC4668B1D6A6C77EF058359839DE7A970D8F647A00195731D","","MISSING"
"app\dashboard\page.tsx","app","4048","A754F7CEE8343FBEB96C0A0AC5E88B07B89B3BB2CA93DADDF37241229A37167E","","MISSING"
"app\globals.css","app","3432","0268DB2D478F55932A9E8F9BC64C6A397D17B881799800AD9AA7D1B6E3FD759B","","MISSING"
"app\layout.tsx","app","338","156CF23FF78653F2D6EEDDBA3B9CFC600A1D139E72AF4BAC16CEA6AB49CAD65B","","MISSING"
"app\login\page.tsx","app","762","5DE3BBFE7971CD20A62520EB24DA70258AF0C60CE1F26B2593C3DE9E140CA5AC","","MISSING"
"app\marketing\page.tsx","app","2860","1DD426853E57A2DDBDA63EAB7DCDD6823DCFB544BE44EE8775C509E19FC6A772","","MISSING"
"app\onboarding\page.tsx","app","2800","A771918E06687A1E01EF91AEFEB9F2181E6427ECC41B6683AF54817DF2566210","","MISSING"
"app\page.tsx","app","1201","DABEDD6C61B3A99445FB6B40FE6EFD8BA8F89F304553C7C860BCD932687D1BF5","","MISSING"
"components\Sidebar.tsx","components","948","ED85BD8F6AC9C70FA807649CCACCBF1DF0AA2408A308702D94C8827F8DD8374D","","MISSING"
"config\agent-registry.json","config","14526","EB7C0C877525D3C313ACA36F1161FD799D58A20DEEE0ACBB8B6220A6978A5EB3","","MISSING"
"config\capability-registry.json","config","23835","43745287B42D6A436B3582EC391F1BB09DDCF7872852CB23D132B65F81ACB50E","","MISSING"
"docker\README.md","docker","348","924F51A4926656FF6B514BCE254803961CEBE943DAB0A05D86540B4A3B1DE44D","","MISSING"
"docker-compose.yml","docker-compose.yml","542","8B5292F1B5796FCAC1EB68121469B31ADE51AAD32202490E553D23DDD2FF22B1","","MISSING"
"docs\AGENT-ROSTER.md","docs","2643","7568F1CA4FBBD49993E31C0BA86F31A66BC081ECC49F0218426D2D9E957F5C70","","MISSING"
"docs\AGENTS.md","docs","1836","F7F5593FB4B6C307763A17EB02A04B5A683BBEFE973E9381CD55C1C8930C5629","","MISSING"
"docs\agents\ai-business-mentor.md","docs","1894","6F22C7469634F87599C8D067E2B587F0EE84F338E7A0E03F2D537E05DE67AD45","","MISSING"
"docs\agents\ai-orchestrator.md","docs","1921","6D5DE346C425DFE57CE2667945C85A7E8C572EBE87A50F5BC7D710FA15804B40","","MISSING"
"docs\agents\analytics.md","docs","1877","8E63B21D3211B962DE07F8E4612A8C7CC810B2E387299E51F05506AF07FD5F75","","MISSING"
"docs\agents\automation.md","docs","1858","0D49FCBE31C06930335AFFE116F75D8494AC31C77C1510B3075CDBD0465339AD","","MISSING"
"docs\agents\business-intelligence.md","docs","1939","CF044D81140256BDDB66F86BA87C0DF355AD69F942C83580279BAE79122C4A0F","","MISSING"
"docs\agents\campaign.md","docs","1869","03B32376EBD72FF883F2B5254924F4EB83DE18FCF0C218686BE95727B453CAB0","","MISSING"
"docs\agents\cfo-intelligence.md","docs","1907","83F482CA3D6C49AC33BBF4F85A0671E49C287BCE012E34EDC2BD16D6DB0D528C","","MISSING"
"docs\agents\content.md","docs","1822","AEF8FC60900B8CAF0418BF48933827A9E8BEF0AA5FBAB36323FD668915251D63","","MISSING"
"docs\agents\creative.md","docs","1860","81991062982CC6E05ECCE5341477320A7699EFFA9F1012C263CE9084E77D7565","","MISSING"
"docs\agents\customer-success.md","docs","1884","9B741BBECBC387D51F8F566AFFA52175B639A7C7808C7BC9E69D360B47F265F8","","MISSING"
"docs\agents\marketing-strategist.md","docs","1907","A4616820F9748BC6766016D4D76F45F5F5C587BF502BB0A77AD7FAE2B5A6C400","","MISSING"
"docs\agents\market-research.md","docs","1898","501B2FE9CC2E50FD89336CF02C92F712BED58782C3E7AB398DAB60BA1157A2B4","","MISSING"
"docs\agents\sales.md","docs","2248","CDC2C95ACB656CAE677194023E27D7832B48ED72EB1BEA57C021A943D5BEAE0B","","MISSING"
"docs\agents\seo.md","docs","1866","283EC141DFD45FBABD20D74A425DF554AC0707C00972ECFFBBC7306F4C259006","","MISSING"
"docs\AI-CORE-TEST-PLAN-V1.3.md","docs","756","9D3EE1346A266F32833AF65F8BEE7A7AD66DD3C8A35EEF0C684050D6225AB55F","","MISSING"
"docs\AI-CORE-TOOL-GOVERNANCE.md","docs","969","91E7A4470D706BD5BA6C7BB5BFC7C190375DF85850847E50DF44EC9BDAF61951","","MISSING"
"docs\AI-CORE-V1.3.md","docs","1266","0033F67540172CABE057FAA97CA23FF9E44E6DA0E1FF1B300D7023CA5424464E","","MISSING"
"docs\analytics\ANALYTICS-DOMAIN-SCHEMA.md","docs","758","498E5D0BB08A426DA54F3B39244BCB8BD28F3948B5998E0026FC0D1D6BAF3903","","MISSING"
"docs\analytics\EXECUTIVE-DASHBOARD.md","docs","531","A7F2BB5A0AE8A97F92A47ABFC89F5758BB3850C4A52D5A27EDB602E9CD56DB8C","","MISSING"
"docs\analytics\V1.8-ANALYTICS-GROWTH.md","docs","787","2F9E99C55BC82A114DD019A7E8A28FD5FEA19121AED33174D649BF5585AC0D72","","MISSING"
"docs\analytics\V1.8-VALIDATION.json","docs","274","8FD0A698A72C6B573669E85E954708167415BB2A818214E74FF86ABFF31CACE1","","MISSING"
"docs\API.md","docs","758","CB768C0F599D917A89F6EA2E768076C1B76A8A5D50F5F4A0196F7171A9321B54","","MISSING"
"docs\ARCHITECTURE.md","docs","1225","654338DC64B0A13AA7690E6A5EB051B18025FCED971F72EBCA56778E555B93C9","","MISSING"
"docs\architecture-full\AGENT-TOOL-MATRIX.md","docs","1851","B3525B2DCE5F96223D1F0219A152D08BD4A359500231F75194EECE374D914156","","MISSING"
"docs\architecture-full\API-CONTRACTS-V1.1.md","docs","2013","8FFF71466AAA4BC052E7F35357A76DD0BF197348488FDAA6FDD20328E6E4596B","","MISSING"
"docs\architecture-full\API-CONTRACTS-V1.md","docs","2570","9956D6E454117EC1973B8A0804DCB3EBFE1ED090A3385C952E1D6F4529FCF85F","","MISSING"
"docs\architecture-full\BUILD-ORDER-V1.1.md","docs","952","0F3B738252C36EDFFDA4D02467B0FD609F998555268121C4C091543ABD32CB19","","MISSING"
"docs\architecture-full\CONTROL-PLANE-IMPLEMENTATION.md","docs","1358","A04E5135B4C3DE673E5C2F5E24D25AA08655706204C054873E894C685F17E3E1","","MISSING"
"docs\architecture-full\CONTROL-PLANE-V2.md","docs","1537","0A14E2EE9A5ABFA7702CD5BB76B83D1D5D1818C33E7A6A1B77FDF18D9BB5EBFB","","MISSING"
"docs\architecture-full\DATABASE-V1.1.md","docs","1615","C3F14A3CD6F632D176A216A22E19CA2F4D2CE96325B0517D1B1D46926F107DB7","","MISSING"
"docs\architecture-full\DECISIONS-V1.md","docs","1012","3E2D0B827BD6D4DEBE1D0D5011D3AF7DBB6DCF03917545CD199A33B63A5216B7","","MISSING"
"docs\architecture-full\DOMAIN-MODEL-V1.md","docs","2022","F1E651AF85824825C4EC41B9A706B7276E59E60A0200454CF890E86C5FDE9FEC","","MISSING"
"docs\architecture-full\ENTITLEMENTS-RBAC-V1.1.md","docs","980","25F9193FE79AFA102827D45878DF6DD55D736F7546D898C889BCC7B40287D233","","MISSING"
"docs\architecture-full\FULL-PRODUCT-SCOPE.md","docs","2860","0424CBDEF2E71522B909B5CDD1B004D57454E24226C411A9A2E79529CB80C98B","","MISSING"
"docs\architecture-full\FULL-ROADMAP.md","docs","1327","B16F02D3C4531A9442E39855E9D0FFF0A7F6690E6F504EDD5757D5541AE43DB8","","MISSING"
"docs\architecture-full\IMPLEMENTATION-STATUS-V1.1.md","docs","1253","221E389ABE5725A2E4B7F36B35293247CA2BD0EAAB4D63946F30296BC9748A3B","","MISSING"
"docs\architecture-full\README.md","docs","329","0834CC74B637E2C89958E518C0B1B7A41688A1ACB5BC992A7294AA27251997BD","","MISSING"
"docs\architecture-full\SYSTEM-ARCHITECTURE-V1.md","docs","2250","0FD954D2E5517C3C15C52BB046DCDC5A256E327E7BDC49F3AF21E404A3FB8001","","MISSING"
"docs\architecture-full\V1.2-IMPLEMENTATION.md","docs","1200","1A1C1BF8677763937AA5B9992E8CABF316B2F5D1F122FCA1FAA0FF0877058C73","","MISSING"
"docs\architecture-full\WORKFLOW-CATALOG-V1.md","docs","2056","FBA61F973E8F1DCB14C05B3C42FA97CF2B498DAA408E3A41C61D211B582078E0","","MISSING"
"docs\AUTOMATION-V1.7.md","docs","1002","FA788DFBE9273F4B0C6DDF4C9AE3FB181AB0F9325D2782F345A1DB749C1AAB69","","MISSING"
"docs\CRM-SALES-V1.5.md","docs","898","23B6792091041238A79555D0218361B2056A05F758629CE0B7A1BF813FDDD608","","MISSING"
"docs\customer-success-cfo\CFO-DASHBOARD.md","docs","510","95D9241C15E93D3E9754CC013649F44170424479B9AF42188A4EBDD9F53C61DB","","MISSING"
"docs\customer-success-cfo\CLIENT-PROFITABILITY.md","docs","401","4E05FEEAFEBDC88A6B6256AF6D02007442DC6764CA80FCEAA61A5CDA16F0775C","","MISSING"
"docs\customer-success-cfo\CUSTOMER-SUCCESS-WORKFLOWS.md","docs","478","10DB99EC06DDE7ABCAD2FAB8CEC1BFC6CBB5F48620AEF5628DCD2CF97ACBCBF2","","MISSING"
"docs\customer-success-cfo\V1.9-CUSTOMER-SUCCESS-CFO.md","docs","1060","DF298264350FAB26A895D12E55A100926BDB400694773288AC32CB163D3659B6","","MISSING"
"docs\customer-success-cfo\V1.9-VALIDATION.json","docs","214","083209F741FD011EEB8DB31FA563139BC0B592D6E6F806DE15AD54B9591BBA2E","","MISSING"
"docs\MARKETING-V1.6.md","docs","1034","6B9102E8D20C7681FC399339264F201C8C0837AB5DC1A90AC70E68C05F37CE54","","MISSING"
"docs\MVP-TASKS.md","docs","878","EB4A5AB32E561655DA8FB8098A98555D1ED09E7864EFBB1E47A75D9AC3A5C1C0","","MISSING"
"docs\ORCHESTRATOR.md","docs","1157","3C146A660BC26EDC0DF30C3DF22324732B39946C837CB9905BC83F3211A13A71","","MISSING"
"docs\RBAC.md","docs","473","48C9235E70AEFCC3F019E75C456DF95948EFB274CE0C7E1E04F64377410011B4","","MISSING"
"docs\SOURCE-MANIFEST.txt","docs","1310","BE1D7C0C1A5855BE4B33716096192BF670155B5372474EBECDFEE75C967599D2","","MISSING"
"docs\V0.5-IMPLEMENTATION.md","docs","1261","C173C42DA2FE158F74135305A56A39AC974606F8B034A86CA81370FF526FF8DE","","MISSING"
"docs\V0.6-IMPLEMENTATION.md","docs","1518","5C3B22E9703944E6984EB1CF3F102342F03DA4C860391CD7B9CFBB64B4AB89DD","","MISSING"
"docs\V0.7-IMPLEMENTATION.md","docs","989","22E85BC93F01FE29BFB3344B8D0605624F5883486E77B9BF39ACBFFE2270F11C","","MISSING"
"docs\V0.8-HARDENING.md","docs","1261","C4DFC807C0E36CB399919FCF6F729DDAF7594C3E070E16346AFDD352C7EE9537","","MISSING"
"docs\v2.1\PRODUCTION-HARDENING.md","docs","886","1A134D0407CB98DF8272E80DDC41E877A46ED2F4ED9EF08FCC6341B87ACE4DF2","","MISSING"
"docs\v2.1\RELEASE-STATUS.json","docs","266","4D0D05D161999FDD5AD40B4B8EE697C0CBAF63CDB6FBBD49C27D28FBF280EDD3","","MISSING"
"docs\v2.1\SECURITY-RELEASE-CHECKLIST.md","docs","710","91C397C060E69EB1590080BC9A6CFBE5C0A34318F7B703B7A9BFE258E76694CF","","MISSING"
"docs\v2.1\TEST-MATRIX.md","docs","682","34BFEEBB7996D776F5C42D30F96810CC09EEFD611C197A1AA25CBEAA0862C993","","MISSING"
"docs\v2.2\RELEASE-NOTE.txt","docs","86","6636F66C4A0FCF1843908BF628937F260CE1E38E0F0849CD48D04E44C59B72E5","","MISSING"
"docs\v2.2\runtime-results.json","docs","350","2FA4FD752D2B5B8C01647B0DC5CFE1A7932210964ED691758A650B25A8210FB7","","MISSING"
"docs\v2.2\RUNTIME-VERIFICATION.md","docs","498","E531CEA4F830D0DBA55BE73B080254ECCE54C6AA32FD8A7FE738A96AFE82B227","","MISSING"
"docs\v2.3\DEVELOPER-SETUP.md","docs","627","AEE888229A3415CA14C284A862E9ADD140A6869BEA9DB4A0302A4FF5C7298405","","MISSING"
"docs\v2.3\RUNTIME-CONTRACT.md","docs","343","CFD4B66F72965AA6225B570F6B9ACC3B205CB98CD074F139FC636ED3CF4AAC63","","MISSING"
"docs\v2.3\V2.3-STATUS.json","docs","254","C6438E9D9500B518AB3B46376B7A965212938B6F194B060FF96D0DDBBF6C439E","","MISSING"
"docs\v2\API-CONTRACTS.md","docs","744","CA12C31F249BDBD813B91D15F0B40BB5475881D1F70D576124277DCBFF10A28F","","MISSING"
